äädikaline, äädikalise, äädikalist, äädikalisesse|äädikalisse, äädikaliste, äädikalisi
elektriline, elektrilise, elektrilist, elektrilisesse|elektrilisse, elektriliste, elektrilisi
elektrooniline, elektroonilise, elektroonilist, elektroonilisesse|elektroonilisse, elektrooniliste, elektroonilisi
elev, eleva, elevat, elevasse, elevate, elevaid
elliptiline, elliptilise, elliptilist, elliptilisesse|elliptilisse, elliptiliste, elliptilisi
eluline, elulise, elulist, elulisesse|elulisse, eluliste, elulisi
elus, elusa, elusat, elusasse, elusate, elusaid
elustav, elustava, elustavat, elustavasse, elustavate, elustavaid
elutu, elutu, elutut, elutusse, elutute, elutuid
elüüsiline, elüüsilise, elüüsilist, elüüsilisesse|elüüsilisse, elüüsiliste, elüüsilisi
emalik, emaliku, emalikku, emalikusse|emalikku, emalike|emalikkude, emalikke|emalikkusid
emane, emase, emast, emasesse, emaste, emaseid
emigrantlik, emigrantliku, emigrantlikku, emigrantlikusse|emigrantlikku, emigrantlike|emigrantlikkude, emigrantlikke|emigrantlikkusid
eminentne, eminentse, eminentset, eminentsesse, eminentsete, eminentseid
emotsionaalne, emotsionaalse, emotsionaalset, emotsionaalsesse, emotsionaalsete, emotsionaalseid
emotsioonitu, emotsioonitu, emotsioonitut, emotsioonitusse, emotsioonitute, emotsioonituid
empaatiline, empaatilise, empaatilist, empaatilisesse|empaatilisse, empaatiliste, empaatilisi
empiiriline, empiirilise, empiirilist, empiirilisesse|empiirilisse, empiiriliste, empiirilisi
enamlik, enamliku, enamlikku, enamlikusse|enamlikku, enamlike|enamlikkude, enamlikke|enamlikkusid
endeline, endelise, endelist, endelisesse|endelisse, endeliste, endelisi
endine, endise, endist, endisesse|endisse, endiste, endisi|endiseid
energiline, energilise, energilist, energilisesse|energilisse, energiliste, energilisi
eneslik, enesliku, eneslikku, eneslikusse|eneslikku, eneslike|eneslikkude, eneslikke|eneslikkusid
ennatlik, ennatliku, ennatlikku, ennatlikusse|ennatlikku, ennatlike|ennatlikkude, ennatlikke|ennatlikkusid
ennetav, ennetava, ennetavat, ennetavasse, ennetavate, ennetavaid
ennistav, ennistava, ennistavat, ennistavasse, ennistavate, ennistavaid
ennistine, ennistise, ennistist, ennistisesse|ennistisse, ennististe, ennistisi
ennustamatu, ennustamatu, ennustamatut, ennustamatusse, ennustamatute, ennustamatuid
ennustatav, ennustatava, ennustatavat, ennustatavasse, ennustatavate, ennustatavaid
ennustav, ennustava, ennustavat, ennustavasse, ennustavate, ennustavaid
ennustuslik, ennustusliku, ennustuslikku, ennustuslikusse|ennustuslikku, ennustuslike|ennustuslikkude, ennustuslikke|ennustuslikkusid
entusiastlik, entusiastliku, entusiastlikku, entusiastlikusse|entusiastlikku, entusiastlike|entusiastlikkude, entusiastlikke|entusiastlikkusid
episoodiline, episoodilise, episoodilist, episoodilisesse|episoodilisse, episoodiliste, episoodilisi
epistolaarne, epistolaarse, epistolaarset, epistolaarsesse, epistolaarsete, epistolaarseid
eraklik, erakliku, eraklikku, eraklikusse|eraklikku, eraklike|eraklikkude, eraklikke|eraklikkusid
eraldamatu, eraldamatu, eraldamatut, eraldamatusse, eraldamatute, eraldamatuid
eraldatud, eraldatu, eraldatut, eraldatusse, eraldatute, eraldatuid
eraldine, eraldise, eraldist, eraldisesse|eraldisse, eraldiste, eraldisi
eralduv, eralduva, eralduvat, eralduvasse, eralduvate, eralduvaid
eranditu, eranditu, eranditut, eranditusse, eranditute, erandituid
erandlik, erandliku, erandlikku, erandlikusse|erandlikku, erandlike|erandlikkude, erandlikke|erandlikkusid
ere, ereda, eredat, eredasse, eredate, eredaid
ergas, erksa, ergast|erksat, erksasse, erksate, erksaid
eriline, erilise, erilist, erilisesse|erilisse, eriliste, erilisi
erinev, erineva, erinevat, erinevasse, erinevate, erinevaid
eristav, eristava, eristavat, eristavasse, eristavate, eristavaid
eritine, eritise, eritist, eritisesse|eritisse, eritiste, eritisi
eritlev, eritleva, eritlevat, eritlevasse, eritlevate, eritlevaid
erk, ergu, erku, ergusse|erku, erkude, erke|erkusid
erootiline, erootilise, erootilist, erootilisesse|erootilisse, erootiliste, erootilisi
erudeeritud, erudeeritu, erudeeritut, erudeeritusse, erudeeritute, erudeerituid
erudiitne, erudiitse, erudiitset, erudiitsesse, erudiitsete, erudiitseid
erutatud, erutatu, erutatut, erutatusse, erutatute, erutatuid
erutav, erutava, erutavat, erutavasse, erutavate, erutavaid
erutuv, erutuva, erutuvat, erutuvasse, erutuvate, erutuvaid
esemeline, esemelise, esemelist, esemelisesse|esemelisse, esemeliste, esemelisi
esindav, esindava, esindavat, esindavasse, esindavate, esindavaid
esinduslik, esindusliku, esinduslikku, esinduslikusse|esinduslikku, esinduslike|esinduslikkude, esinduslikke|esinduslikkusid
esinev, esineva, esinevat, esinevasse, esinevate, esinevaid
esmane, esmase, esmast, esmasesse, esmaste, esmaseid
esoteeriline, esoteerilise, esoteerilist, esoteerilisesse|esoteerilisse, esoteeriliste, esoteerilisi
esteetiline, esteetilise, esteetilist, esteetilisesse|esteetilisse, esteetiliste, esteetilisi
etniline, etnilise, etnilist, etnilisesse|etnilisse, etniliste, etnilisi
etüüdlik, etüüdliku, etüüdlikku, etüüdlikusse|etüüdlikku, etüüdlike|etüüdlikkude, etüüdlikke|etüüdlikkusid
eufemistlik, eufemistliku, eufemistlikku, eufemistlikusse|eufemistlikku, eufemistlike|eufemistlikkude, eufemistlikke|eufemistlikkusid
eufooniline, eufoonilise, eufoonilist, eufoonilisesse|eufoonilisse, eufooniliste, eufoonilisi
euroopalik, euroopaliku, euroopalikku, euroopalikusse|euroopalikku, euroopalike|euroopalikkude, euroopalikke|euroopalikkusid
eutroofne, eutroofse, eutroofset, eutroofsesse, eutroofsete, eutroofseid
fabritseeritu, fabritseeritu, fabritseeritut, fabritseeritusse, fabritseeritute, fabritseerituid
fakultatiivne, fakultatiivse, fakultatiivset, fakultatiivsesse, fakultatiivsete, fakultatiivseid
familiaarne, familiaarse, familiaarset, familiaarsesse, familiaarsete, familiaarseid
fanaatiline, fanaatilise, fanaatilist, fanaatilisesse|fanaatilisse, fanaatiliste, fanaatilisi
fantastiline, fantastilise, fantastilist, fantastilisesse|fantastilisse, fantastiliste, fantastilisi
farslik, farsliku, farslikku, farslikusse|farslikku, farslike|farslikkude, farslikke|farslikkusid
fašistlik, fašistliku, fašistlikku, fašistlikusse|fašistlikku, fašistlike|fašistlikkude, fašistlikke|fašistlikkusid
fataalne, fataalse, fataalset, fataalsesse, fataalsete, fataalseid
feminiinne, feminiinse, feminiinset, feminiinsesse, feminiinsete, feminiinseid
feodaalne, feodaalse, feodaalset, feodaalsesse, feodaalsete, feodaalseid
feodalistlik, feodalistliku, feodalistlikku, feodalistlikusse|feodalistlikku, feodalistlike|feodalistlikkude, feodalistlikke|feodalistlikkusid
fiilne, fiilse, fiilset, fiilsesse, fiilsete, fiilseid
fikseeritu, fikseeritu, fikseeritut, fikseeritusse, fikseeritute, fikseerituid
fiktiivne, fiktiivse, fiktiivset, fiktiivsesse, fiktiivsete, fiktiivseid
filantroopiline, filantroopilise, filantroopilist, filantroopilisesse|filantroopilisse, filantroopiliste, filantroopilisi
filigraanne, filigraanse, filigraanset, filigraansesse, filigraansete, filigraanseid
filosofeeriv, filosofeeriva, filosofeerivat, filosofeerivasse, filosofeerivate, filosofeerivaid
filosoofiline, filosoofilise, filosoofilist, filosoofilisesse|filosoofilisse, filosoofiliste, filosoofilisi
finaalne, finaalse, finaalset, finaalsesse, finaalsete, finaalseid
finantsiline, finantsilise, finantsilist, finantsilisesse|finantsilisse, finantsiliste, finantsilisi
finiitne, finiitse, finiitset, finiitsesse, finiitsete, finiitseid
flegmaatiline, flegmaatilise, flegmaatilist, flegmaatilisesse|flegmaatilisse, flegmaatiliste, flegmaatilisi
föderaalne, föderaalse, föderaalset, föderaalsesse, föderaalsete, föderaalseid
föderatiivne, föderatiivse, föderatiivset, föderatiivsesse, föderatiivsete, föderatiivseid
följetonistlik, följetonistliku, följetonistlikku, följetonistlikusse|följetonistlikku, följetonistlike|följetonistlikkude, följetonistlikke|följetonistlikkusid
foobne, foobse, foobset, foobsesse, foobsete, foobseid
formaalne, formaalse, formaalset, formaalsesse, formaalsete, formaalseid
fraasitsev, fraasitseva, fraasitsevat, fraasitsevasse, fraasitsevate, fraasitsevaid
fragmentaarne, fragmentaarse, fragmentaarset, fragmentaarsesse, fragmentaarsete, fragmentaarseid
frekventne, frekventse, frekventset, frekventsesse, frekventsete, frekventseid
frigiidne, frigiidse, frigiidset, frigiidsesse, frigiidsete, frigiidseid
frivoolne, frivoolse, frivoolset, frivoolsesse, frivoolsete, frivoolseid
fundamentaalne, fundamentaalse, fundamentaalset, fundamentaalsesse, fundamentaalsete, fundamentaalseid
funktsionaalne, funktsionaalse, funktsionaalset, funktsionaalsesse, funktsionaalsete, funktsionaalseid
füüsikaline, füüsikalise, füüsikalist, füüsikalisesse|füüsikalisse, füüsikaliste, füüsikalisi
füüsiline, füüsilise, füüsilist, füüsilisesse|füüsilisse, füüsiliste, füüsilisi
gaamiline, gaamilise, gaamilist, gaamilisesse|gaamilisse, gaamiliste, gaamilisi
gaamne, gaamse, gaamset, gaamsesse, gaamsete, gaamseid
galantne, galantse, galantset, galantsesse, galantsete, galantseid
geneetiline, geneetilise, geneetilist, geneetilisesse|geneetilisse, geneetiliste, geneetilisi
generatiivne, generatiivse, generatiivset, generatiivsesse, generatiivsete, generatiivseid
genereeriv, genereeriva, genereerivat, genereerivasse, genereerivate, genereerivaid
geoloogiline, geoloogilise, geoloogilist, geoloogilisesse|geoloogilisse, geoloogiliste, geoloogilisi
gigantne, gigantse, gigantset, gigantsesse, gigantsete, gigantseid
globaalne, globaalse, globaalset, globaalsesse, globaalsete, globaalseid
glorioosne, glorioosse, glorioosset, glorioossesse, glorioossete, glorioosseid
graafiline, graafilise, graafilist, graafilisesse|graafilisse, graafiliste, graafilisi
grammatiline, grammatilise, grammatilist, grammatilisesse|grammatilisse, grammatiliste, grammatilisi
granuloosne, granuloosse, granuloosset, granuloossesse, granuloossete, granuloosseid
häälekas, hääleka, häälekat, häälekasse, häälekate, häälekaid
hääleline, häälelise, häälelist, häälelisesse|häälelisse, hääleliste, häälelisi
hääletu, hääletu, hääletut, hääletusse, hääletute, hääletuid
häälikuline, häälikulise, häälikulist, häälikulisesse|häälikulisse, häälikuliste, häälikulisi
haaratud, haaratu, haaratut, haaratusse, haaratute, haaratuid
haarav, haarava, haaravat, haaravasse, haaravate, haaravaid
haardeline, haardelise, haardelist, haardelisesse|haardelisse, haardeliste, haardelisi
haavatav, haavatava, haavatavat, haavatavasse, haavatavate, haavatavaid
haavunu, haavunu, haavunut, haavunusse, haavunute, haavunuid
häbelik, häbeliku, häbelikku, häbelikusse|häbelikku, häbelike|häbelikkude, häbelikke|häbelikkusid
häbematu, häbematu, häbematut, häbematusse, häbematute, häbematuid
habemik, habemiku, habemikku, habemikusse|habemikku, habemike|habemikkude, habemikke|habemikkusid
häbenematu, häbenematu, häbenematut, häbenematusse, häbenematute, häbenematuid
häbenev, häbeneva, häbenevat, häbenevasse, häbenevate, häbenevaid
häbistatud, häbistatu, häbistatut, häbistatusse, häbistatute, häbistatuid
häbitu, häbitu, häbitut, häbitusse, häbitute, häbituid
habras, hapra, habrast, haprasse, habraste, hapraid
hägune, häguse, hägust, hägusesse, häguste, häguseid
hägus, hägusa, hägusat, hägusasse, hägusate, hägusaid
hahkjas, hahkja, hahkjat, hahkjasse, hahkjate, hahkjaid
haige, haige, haiget, haigesse, haigete, haigeid
haiglane, haiglase, haiglast, haiglasesse|haiglasse, haiglaste, haiglasi|haiglaseid
häirimatu, häirimatu, häirimatut, häirimatusse, häirimatute, häirimatuid
häiriv, häiriva, häirivat, häirivasse, häirivate, häirivaid
haisev, haiseva|haisva, haisevat|haisvat, haisevasse|haisvasse, haisevate|haisvate, haisevaid|haisvaid
hajane, hajase, hajast, hajasesse, hajaste, hajaseid
hakanu, hakanu, hakanut, hakanusse, hakanute, hakanuid
hakkav, hakkava, hakkavat, hakkavasse, hakkavate, hakkavaid
halastamatu, halastamatu, halastamatut, halastamatusse, halastamatute, halastamatuid
halastav, halastava, halastavat, halastavasse, halastavate, halastavaid
hälbeline, hälbelise, hälbelist, hälbelisesse|hälbelisse, hälbeliste, hälbelisi
halb, halva, halba, halvasse|halba, halbade, halbu|halbasid
halduslik, haldusliku, halduslikku, halduslikusse|halduslikku, halduslike|halduslikkude, halduslikke|halduslikkusid
hale, haleda, haledat, haledasse, haledate, haledaid
haletsev, haletseva, haletsevat, haletsevasse, haletsevate, haletsevaid
haljas, halja, haljast, haljasse, haljaste, haljaid
hallutsinatoorne, hallutsinatoorse, hallutsinatoorset, hallutsinatoorsesse, hallutsinatoorsete, hallutsinatoorseid
halvatud, halvatu, halvatut, halvatusse, halvatute, halvatuid
halvatuslik, halvatusliku, halvatuslikku, halvatuslikusse|halvatuslikku, halvatuslike|halvatuslikkude, halvatuslikke|halvatuslikkusid
halvustav, halvustava, halvustavat, halvustavasse, halvustavate, halvustavaid
hämar, hämara, hämarat, hämarasse, hämarate, hämaraid
hämav, hämava, hämavat, hämavasse, hämavate, hämavaid
hambuline, hambulise, hambulist, hambulisesse|hambulisse, hambuliste, hambulisi
hambutu, hambutu, hambutut, hambutusse, hambutute, hambutuid
hämmastav, hämmastava, hämmastavat, hämmastavasse, hämmastavate, hämmastavaid
hämune, hämuse, hämust, hämusesse, hämuste, hämuseid
hangetanud, hangetanu, hangetanut, hangetanusse, hangetanute, hangetanuid
hangunud, hangunu, hangunut, hangunusse, hangunute, hangunuid
happeline, happelise, happelist, happelisesse|happelisse, happeliste, happelisi
hapu, hapu, haput, hapusse, hapude, hapusid
hapukas, hapuka, hapukat, hapukasse, hapukate, hapukaid
haraline, haralise, haralist, haralisesse|haralisse, haraliste, haralisi
härgjas, härgja, härgjat, härgjasse, härgjate, härgjaid
hariduslik, haridusliku, hariduslikku, hariduslikusse|hariduslikku, hariduslike|hariduslikkude, hariduslikke|hariduslikkusid
harilik, hariliku, harilikku, harilikusse|harilikku, harilike|harilikkude, harilikke|harilikkusid
harimatu, harimatu, harimatut, harimatusse, harimatute, harimatuid
haritud, haritu, haritut, haritusse, haritute, harituid
härjalik, härjaliku, härjalikku, härjalikusse|härjalikku, härjalike|härjalikkude, härjalikke|härjalikkusid
harjumuslik, harjumusliku, harjumuslikku, harjumuslikusse|harjumuslikku, harjumuslike|harjumuslikkude, harjumuslikke|harjumuslikkusid
harjunud, harjunu, harjunut, harjunusse, harjunute, harjunuid
harkjas, harkja, harkjat, harkjasse, harkjate, harkjaid
harklik, harkliku, harklikku, harklikusse|harklikku, harklike|harklikkude, harklikke|harklikkusid
härmane, härmase, härmast, härmasesse, härmaste, härmaseid
harmooniline, harmoonilise, harmoonilist, harmoonilisesse|harmoonilisse, harmooniliste, harmoonilisi
härralik, härraliku, härralikku, härralikusse|härralikku, härralike|härralikkude, härralikke|härralikkusid
härrandlik, härrandliku, härrandlikku, härrandlikusse|härrandlikku, härrandlike|härrandlikkude, härrandlikke|härrandlikkusid
harras, harda, harrast, hardasse, harraste, hardaid
härraslik, härrasliku, härraslikku, härraslikusse|härraslikku, härraslike|härraslikkude, härraslikke|härraslikkusid
haruldane, haruldase, haruldast, haruldasesse|haruldasse, haruldaste, haruldasi
haruline, harulise, harulist, harulisesse|harulisse, haruliste, harulisi
harv, harva, harva, harvasse|harva, harvade, harvu|harvasid
harvik, harviku, harvikut, harvikusse, harvikute, harvikuid
hasartne, hasartse, hasartset, hasartsesse, hasartsete, hasartseid
hatune, hatuse, hatust, hatusesse, hatuste, hatuseid
hävitav, hävitava, hävitavat, hävitavasse, hävitavate, hävitavaid
hävituslik, hävitusliku, hävituslikku, hävituslikusse|hävituslikku, hävituslike|hävituslikkude, hävituslikke|hävituslikkusid
hea, hea, head, heasse, heade, häid
heitev, heitva, heitvat, heitvasse, heitvate, heitvaid
heitlik, heitliku, heitlikku, heitlikusse|heitlikku, heitlike|heitlikkude, heitlikke|heitlikkusid
heitmatu, heitmatu, heitmatut, heitmatusse, heitmatute, heitmatuid
helde, helde, heldet, heldesse, heldete, heldeid
hele, heleda, heledat, heledasse, heledate, heledaid
helendav, helendava, helendavat, helendavasse, helendavate, helendavaid
helge, helge, helget, helgesse, helgete, helgeid
heliline, helilise, helilist, helilisesse|helilisse, heliliste, helilisi
helkiv, helkiva, helkivat, helkivasse, helkivate, helkivaid
helkjas, helkja, helkjat, helkjasse, helkjate, helkjaid
hell, hella, hella, hellasse|hella, hellade, helli|hellasid
hellik, helliku, hellikut, hellikusse, hellikute, hellikuid
hellitatud, hellitatu, hellitatut, hellitatusse, hellitatute, hellitatuid
hepik, hepiku, hepikut, hepikusse, hepikute, hepikuid
hermeetiline, hermeetilise, hermeetilist, hermeetilisesse|hermeetilisse, hermeetiliste, hermeetilisi
heroiline, heroilise, heroilist, heroilisesse|heroilisse, heroiliste, heroilisi|heroiliseid
heterogeenne, heterogeense, heterogeenset, heterogeensesse, heterogeensete, heterogeenseid
hetkeline, hetkelise, hetkelist, hetkelisesse|hetkelisse, hetkeliste, hetkelisi
hiiglaslik, hiiglasliku, hiiglaslikku, hiiglaslikusse|hiiglaslikku, hiiglaslike|hiiglaslikkude, hiiglaslikke|hiiglaslikkusid
hiilas, hiila, hiilast, hiilasse, hiilaste, hiilaid
hiilgav, hiilgava, hiilgavat, hiilgavasse, hiilgavate, hiilgavaid
hiline, hilise, hilist, hilisesse, hiliste, hiliseid
hilinenud, hilinenu, hilinenut, hilinenusse, hilinenute, hilinenuid
hilinev, hilineva, hilinevat, hilinevasse, hilinevate, hilinevaid
hiljutine, hiljutise, hiljutist, hiljutisesse|hiljutisse, hiljutiste, hiljutisi
himukas, himuka, himukat, himukasse, himukate, himukaid
himulik, himuliku, himulikku, himulikusse|himulikku, himulike|himulikkude, himulikke|himulikkusid
himuline, himulise, himulist, himulisesse|himulisse, himuliste, himulisi
himur, himura, himurat, himurasse, himurate, himuraid
himustatav, himustatava, himustatavat, himustatavasse, himustatavate, himustatavaid
himustav, himustava, himustavat, himustavasse, himustavate, himustavaid
hindamatu, hindamatu, hindamatut, hindamatusse, hindamatute, hindamatuid
hingeline, hingelise, hingelist, hingelisesse|hingelisse, hingeliste, hingelisi
