aadeldama, aadeldada, aadeldab, aadeldatakse, aadeldage, aadeldas, aadeldanud, aadeldatud
asjatama, asjatada, asjatab, asjatatakse, asjatage, asjatas, asjatanud, asjatatud
askeldama, askeldada, askeldab, askeldatakse, askeldage, askeldas, askeldanud, askeldatud
aspireerima, aspireerida, aspireerib, aspireeritakse, aspireerige, aspireeris, aspireerinud, aspireeritud
assigneerima, assigneerida, assigneerib, assigneeritakse, assigneerige, assigneeris, assigneerinud, assigneeritud
assimileerima, assimileerida, assimileerib, assimileeritakse, assimileerige, assimileeris, assimileerinud, assimileeritud
assimileeruma, assimileeruda, assimileerub, assimileerutakse, assimileeruge, assimileerus, assimileerunud, assimileerutud
assisteerima, assisteerida, assisteerib, assisteeritakse, assisteerige, assisteeris, assisteerinud, assisteeritud
ässitama, ässitada, ässitab, ässitatakse, ässitage, ässitas, ässitanud, ässitatud
assoneeruma, assoneeruda, assoneerub, assoneerutakse, assoneeruge, assoneerus, assoneerunud, assoneerutud
assotsieerima, assotsieerida, assotsieerib, assotsieeritakse, assotsieerige, assotsieeris, assotsieerinud, assotsieeritud
assotsieeruma, assotsieeruda, assotsieerub, assotsieerutakse, assotsieeruge, assotsieerus, assotsieerunud, assotsieerutud
astendama, astendada, astendab, astendatakse, astendage, astendas, astendanud, astendatud
astuma, astuda, astub, astutakse, astuge, astus, astunud, astutud
asuma, asuda, asub, asutakse, asuge, asus, asunud, asutud
asundama, asundada, asundab, asundatakse, asundage, asundas, asundanud, asundatud
asunema, asuneda, asuneb, asunetakse, asunege, asunes, asunenud, asunetud
asustama, asustada, asustab, asustatakse, asustage, asustas, asustanud, asustatud
asutama, asutada, asutab, asutatakse, asutage, asutas, asutanud, asutatud
atakeerima, atakeerida, atakeerib, atakeeritakse, atakeerige, atakeeris, atakeerinud, atakeeritud
atašeerima, atašeerida, atašeerib, atašeeritakse, atašeerige, atašeeris, atašeerinud, atašeeritud
atesteerima, atesteerida, atesteerib, atesteeritakse, atesteerige, atesteeris, atesteerinud, atesteeritud
ätistuma, ätistuda, ätistub, ätistutakse, ätistuge, ätistus, ätistunud, ätistutud
atomiseerima, atomiseerida, atomiseerib, atomiseeritakse, atomiseerige, atomiseeris, atomiseerinud, atomiseeritud
atraheerima, atraheerida, atraheerib, atraheeritakse, atraheerige, atraheeris, atraheerinud, atraheeritud
atrofeeruma, atrofeeruda, atrofeerub, atrofeerutakse, atrofeeruge, atrofeerus, atrofeerunud, atrofeerutud
atsihhitama, atsihhitada, atsihhitab, atsihhitatakse, atsihhitage, atsihhitas, atsihhitanud, atsihhitatud
auditeerima, auditeerida, auditeerib, auditeeritakse, auditeerige, auditeeris, auditeerinud, auditeeritud
augustama, augustada, augustab, augustatakse, augustage, augustas, augustanud, augustatud
auhindama, auhinnata, auhindab, auhinnatakse, auhinnake, auhindas, auhinnanud, auhinnatud
aurama, aurata, aurab, auratakse, aurake, auras, auranud, auratud
auruma, auruda, aurub, aurutakse, auruge, aurus, aurunud, aurutud
aurustama, aurustada, aurustab, aurustatakse, aurustage, aurustas, aurustanud, aurustatud
aurustuma, aurustuda, aurustub, aurustutakse, aurustuge, aurustus, aurustunud, aurustutud
aurutama, aurutada, aurutab, aurutatakse, aurutage, aurutas, aurutanud, aurutatud
auskulteerima, auskulteerida, auskulteerib, auskulteeritakse, auskulteerige, auskulteeris, auskulteerinud, auskulteeritud
austama, austada, austab, austatakse, austage, austas, austanud, austatud
autasustama, autasustada, autasustab, autasustatakse, autasustage, autasustas, autasustanud, autasustatud
autentima, autentida, autendib, autenditakse, autentige, autentis, autentinud, autenditud
