aabe, aape, aabet, aapesse, aabete, aapeid
aine, aine, ainet, ainesse, ainete, aineid
aines, ainese, ainest, ainesesse, aineste, aineseid
ainestik, ainestiku, ainestikku, ainestikusse|ainestikku, ainestike|ainestikkude, ainestikke|ainestikkusid
ainetest, ainetesti, ainetesti, ainetestisse|ainetesti, ainetestide, aineteste|ainetestisid
ainsus, ainsuse, ainsust, ainsusesse|ainsusse, ainsuste, ainsusi|ainsuseid
ainumaks, ainumaksa|ainumaksu, ainumaksa|ainumaksu, ainumaksasse|ainumaksusse|ainumaksa|ainumaksu, ainumaksade|ainumaksude, ainumakse|ainumaksu|ainumaksasid|ainumaksusid
aisa, aisa, aisat, aisasse, aisade, aisasid
ais, aisa, aisa, aisasse|aisa, aiste|aisade, aisu|aisasid
aist, aisti, aisti, aistisse|aisti, aistide, aiste|aistisid
aiste, aiste, aistet, aistesse, aistede, aistesid
aistija, aistija, aistijat, aistijasse, aistijate, aistijaid
aistimine, aistimise, aistimist, aistimisesse|aistimisse, aistimiste, aistimisi
aisting, aistingu, aistingut, aistingusse, aistingute, aistinguid
aistitavus, aistitavuse, aistitavust, aistitavusesse|aistitavusse, aistitavuste, aistitavusi
aistlikkus, aistlikkuse, aistlikkust, aistlikkusesse|aistlikkusse, aistlikkuste, aistlikkusi
ait, aida, aita, aidasse|aita, aitade, aitu|aitasid
aitaja, aitaja, aitajat, aitajasse, aitajate, aitajaid
aitamine, aitamise, aitamist, aitamisesse|aitamisse, aitamiste, aitamisi
äiutaja, äiutaja, äiutajat, äiutajasse, äiutajate, äiutajaid
